Date,Open,High,Low,Close,Volume
2026-03-09,2346.90,2353.23,2343.67,2348.85,13179
2026-03-10,2347.72,2354.43,2344.64,2349.95,13316
2026-03-11,2348.43,2353.54,2344.24,2350.79,13453
2026-03-12,2349.03,2355.52,2345.57,2351.32,13590
2026-03-13,2349.53,2356.14,2346.71,2351.55,13727
2026-03-14,2349.92,2354.52,2345.78,2351.46,13864
2026-03-15,2350.17,2355.07,2346.50,2351.08,9001
2026-03-16,2350.27,2355.08,2347.72,2350.41,9138
2026-03-17,2350.17,2353.52,2345.45,2349.49,9275
2026-03-18,2349.85,2353.60,2344.52,2348.37,9412
2026-03-19,2349.28,2353.98,2344.82,2347.08,9549
2026-03-20,2348.45,2352.08,2341.76,2345.68,9686
2026-03-21,2347.36,2350.83,2340.24,2344.23,9823
2026-03-22,2346.03,2350.71,2340.36,2342.78,9960
2026-03-23,2344.50,2348.39,2337.64,2341.40,10097
2026-03-24,2342.85,2346.04,2336.03,2340.13,10234
2026-03-25,2341.16,2345.79,2336.33,2339.03,10371
2026-03-26,2339.51,2343.63,2334.57,2338.13,10508
2026-03-27,2338.02,2340.91,2333.31,2337.48,10645
2026-03-28,2336.79,2341.62,2333.82,2337.08,10782
2026-03-29,2335.89,2341.28,2332.55,2336.97,10919
2026-03-30,2335.40,2339.71,2331.20,2337.14,11056
2026-03-31,2335.36,2341.96,2332.14,2337.57,11193
2026-04-01,2335.79,2342.72,2332.70,2338.26,11330
2026-04-02,2336.67,2341.89,2332.48,2339.16,11467
2026-04-03,2337.93,2344.46,2334.48,2340.25,11604
2026-04-04,2339.52,2346.06,2336.68,2341.47,11741
2026-04-05,2341.32,2345.82,2337.18,2342.78,11878
2026-04-06,2343.23,2348.13,2339.57,2344.13,12015
2026-04-07,2345.12,2350.12,2342.56,2345.46,12152
2026-04-08,2346.89,2350.22,2342.66,2346.72,12289
2026-04-09,2348.42,2352.19,2344.02,2347.85,12426
2026-04-10,2349.65,2354.35,2346.55,2348.83,12563
2026-04-11,2350.52,2354.14,2345.69,2349.61,12700
2026-04-12,2351.01,2354.51,2346.18,2350.17,12837
2026-04-13,2351.12,2355.81,2348.08,2350.48,12974
2026-04-14,2350.88,2354.76,2346.79,2350.55,13111
2026-04-15,2350.36,2353.59,2346.27,2350.38,13248
2026-04-16,2349.61,2354.62,2346.93,2349.99,13385
2026-04-17,2348.73,2353.49,2345.15,2349.39,13522
2026-04-18,2347.78,2351.53,2343.61,2348.62,13659
2026-04-19,2346.84,2352.27,2343.89,2347.73,13796
2026-04-20,2345.97,2351.07,2342.62,2346.77,13933
2026-04-21,2345.22,2348.38,2341.03,2345.78,9070
2026-04-22,2344.62,2349.23,2341.42,2344.82,9207
2026-04-23,2344.18,2348.64,2340.84,2343.95,9344
2026-04-24,2343.89,2346.61,2339.02,2343.21,9481
2026-04-25,2343.74,2347.97,2339.21,2342.65,9618
2026-04-26,2343.72,2348.30,2339.46,2342.32,9755
2026-04-27,2343.80,2346.82,2338.09,2342.23,9892
2026-04-28,2343.97,2347.99,2338.78,2342.43,10029
2026-04-29,2344.22,2348.88,2340.33,2342.90,10166
2026-04-30,2344.56,2347.88,2339.61,2343.67,10303
